ttf-ubuntu-font-family 1:0.83-2
tumbler 4.20.0-2
ugrep 7.3.0-1
unace 2.5-11
unarchiver 1.10.8-4
unarj 2.65-1
unrar 1:7.1.6-1
unzip 6.0-22
update-grub 0.0.1-8
usbutils 018-1
util-linux 2.41-4
vi 1:070224-6
vim 9.1.1236-1
waybar 0.12.0-1
waybar-module-pacman-updates-git 0.2.7-1
wdisplays 1.1.1-1.3
wf-recorder 0.5.0-2
wget 1.25.0-2
which 2.23-1
whois 5.5.23-1
wireless-regdb 2025.02.20-1
wireless_tools 30.pre9-4
wireplumber 0.5.8-1
wl-clipboard 1:2.2.1-2
wlsunset 0.4.0-1
wqy-zenhei 0.9.45-10
wtype 0.4-2
xclip 0.13-6
xdg-desktop-portal 1.20.0-2
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xfce4-clipman-plugin 1.6.7-1
xfsprogs 6.13.0-1
xorg-xhost 1.0.10-1
xorg-xinput 1.6.4-2
xorg-xwayland 24.1.6-1
xsel 1.2.1-2
xz 5.8.1-1
yarn 1.22.22-2
yay 12.4.2-1.1
yazi 25.4.8-1
zen-browser-bin 1.11.1b-1
zip 3.0-11
zoxide 0.9.7-1
