Recommendation,Subscription ID,Subscription Name,Resource Group,Resource Name,Type,Updated Date,Potential Annual Retail Cost Savings,Potential Cost Savings Currency,Potential Cost Savings Percentage,Recommended Quantity,Recommended action 1,Sku,Region
Consider virtual machine reserved instance to save over your on-demand costs,2b0b8b2d-7d45-4f0c-aba5-cf1d12493b01,mcc_authb_sub_prod (2b0b8b2d-7d45-4f0c-aba5-cf1d12493b01),No resource group,2b0b8b2d-7d45-4f0c-aba5-cf1d12493b01,Subscription,2024-08-01T21:28:36.321Z,112.00,USD,,1,Standard_B1ms virtual machines in westus3,Standard_B1ms,westus3
Consider virtual machine reserved instance to save over your on-demand costs,2b0b8b2d-7d45-4f0c-aba5-cf1d12493b01,mcc_authb_sub_prod (2b0b8b2d-7d45-4f0c-aba5-cf1d12493b01),No resource group,2b0b8b2d-7d45-4f0c-aba5-cf1d12493b01,Subscription,2024-08-01T21:28:36.321Z,"2,072.00",USD,,4,Standard_D2s_v3 virtual machines in westus2,Standard_D2s_v3,westus2
